pic_id,latitude,longitude,county,region,country
39585828154,50.047191,8.555495,Gross-Gerau,Hesse,Germany
42194527324,40.684806,-99.026302,Buffalo,Nebraska,United States
24692775927,65.603372,-20.636401,Buffalo,Vestur-Hunavatnssysla,Iceland
27931923489,51.375289,-1.768326,Wiltshire,England,United Kingdom
39844698194,48.860844,2.335794,Paris,Ile-de-France,France
40195508764,47.369953,8.542191,Zurich,Canton of Zurich,Switzerland
27963658627,-27.613421,151.337305,Toowoomba Regional,Queensland,Australia
27065948117,45.252994,19.813907,Toowoomba Regional,Juzhna Bachka,Serbia
26433301528,44.795090,34.428663,Toowoomba Regional,Crimea,Ukraine
42769896791,35.897377,14.512583,Isla,Malta Xlokk,Malta
42821111381,48.865452,2.352880,Paris,Ile-de-France,France
42290824311,50.513901,-2.456388,Dorset,England,United Kingdom
41333763154,40.702146,-73.998112,Brooklyn,New York,United States
40565931774,57.933327,-5.196987,Highland,Scotland,United Kingdom
40609249241,38.480335,22.583427,Central Greece,Thessaly and Continental Greece,Greece
27366676887,40.704855,-73.990194,Brooklyn,New York,United States
42780492392,51.513028,-0.085103,Greater London,England,United Kingdom
39848646010,49.420393,0.228361,Calvados,Lower Normandy,France
42920878112,46.277472,13.879830,Bohinj,Radovljica,Slovenia
41936154294,34.718061,-106.700091,Valencia,New Mexico,United States
26729027117,50.397569,-3.512588,Devon,England,United Kingdom
38426324890,42.656467,23.385116,Sofiya,Sofiya-Grad,Bulgaria
27991447967,45.432094,12.336561,Venice,Veneto,Italy
41983655585,37.798162,-122.413649,San Francisco,California,United States
41204964471,42.925687,-122.162819,Klamath,Oregon,United States
42650691452,37.976062,23.726273,Attica,Attica,Greece
39012223190,47.561563,13.648806,Gmunden District,Upper Austria,Austria
27269405268,52.383790,4.642711,Haarlem,North Holland,Netherlands
41531920901,47.208578,-122.484083,Pierce,Washington,United States
42081612194,39.830224,-6.057758,Caceres,Extremadura,Spain
25087176597,43.773232,11.257016,Florence,Tuscany,Italy
27546605188,43.707916,41.428928,Zelenchukskiy Raion,Karachay-Cherkessia Republic,Russia
28036485919,51.508795,-0.117137,Greater London,England,United Kingdom
42034837634,45.318196,-85.258369,Charlevoix,Michigan,United States
42457995862,51.505083,-0.078979,Greater London,England,United Kingdom
41964450495,55.755858,37.617756,Moskva Raion,Moscow Federal City,Russia
40566800194,43.691310,41.419830,Zelenchukskiy Raion,Karachay-Cherkessia Republic,Russia
39427610094,51.883008,-3.444385,Zelenchukskiy Raion,Wales,United Kingdom
41168592415,41.187654,1.578977,Tarragona,Catalonia,Spain
39024132385,51.505083,-0.078979,Greater London,England,United Kingdom
40386329200,37.692378,-3.511762,Jaen,Andalusia,Spain
40571807710,51.504260,-0.086325,Greater London,England,United Kingdom
38746429865,37.827022,-122.421662,San Francisco,California,United States
41233931815,37.692378,-3.511762,Jaen,Andalusia,Spain
41766686814,41.655567,-0.878219,Zaragoza,Aragon,Spain
27622421717,-33.860934,151.216677,Zaragoza,New South Wales,Australia
41152682491,51.504260,-0.086325,Greater London,England,United Kingdom
40799783145,48.140761,11.548261,Munich,Bavaria,Germany
38791902185,49.421191,1.117515,Seine-Maritime,Upper Normandy,France
42683016661,37.787199,-122.409882,San Francisco,California,United States
27691861829,55.600196,13.002362,Malmo,Skane,Sweden
41598468821,52.641545,-2.318651,Shropshire,England,United Kingdom
