pic_id,Camera_Make,Camera_Model,Exposure,Aperture,Exposure_Program,ISO,Metering_Mode,Flash,Focal_Length,Color_Space,Lens_Model
41992807801,NIKON CORPORATION,NIKON D7200,103.0,20.0,Manual,100.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,18.0-140.0 mm f/3.5-5.6
40380461775,NIKON CORPORATION,NIKON D3300,0.0025,10.0,Not Defined,200.0,Multi-segment,"Off, Did not fire",34.0,sRGB,18.0-140.0 mm f/3.5-5.6
25020607387,FUJIFILM,X-E3,0.008,4.0,Program AE,1250.0,Multi-segment,No Flash,14.5,sRGB,XF10-24mmF4 R OIS
40072505680,OLYMPUS IMAGING CORP.,E-M10,0.005,4.0,Aperture-priority AE,100.0,Multi-segment,"Auto, Did not fire",14.5,sRGB,XF10-24mmF4 R OIS
41173694375,OLYMPUS IMAGING CORP.,E-M10,0.005,4.0,Aperture-priority AE,100.0,Multi-segment,"Auto, Did not fire",14.5,sRGB,XF10-24mmF4 R OIS
42843414192,OLYMPUS IMAGING CORP.,E-M10,0.005,4.0,Aperture-priority AE,100.0,Multi-segment,"Auto, Did not fire",14.5,sRGB,XF10-24mmF4 R OIS
24914503247,NIKON CORPORATION,NIKON D7100,6.0,10.0,Manual,160.0,Multi-segment,"Off, Did not fire",18.0,Uncalibrated,18.0-105.0 mm f/3.5-5.6
39306249105,Canon,Canon EOS-1D X,0.025,4.0,Manual,800.0,Evaluative,"Off, Did not fire",100.0,Adobe RGB,EF100mm f/2.8L Macro IS USM
40916909041,SONY,ILCE-7RM2,3.0,11.0,Manual,100.0,Multi-segment,"Off, Did not fire",16.0,Uncalibrated,FE 16-35mm F4 ZA OSS
27000317561,NIKON CORPORATION,NIKON D7100,0.4,4.0,Aperture-priority AE,1000.0,Multi-segment,"Off, Did not fire",10.0,sRGB,FE 16-35mm F4 ZA OSS
42972765191,OLYMPUS IMAGING CORP.,E-M1,0.1,4.0,Creative (Slow speed),800.0,Multi-segment,"Auto, Did not fire",19.0,sRGB,OLYMPUS M.12-40mm F2.8
28380188188,Canon,Canon EOS 5D Mark IV,30.0,9.0,Aperture-priority AE,50.0,Multi-segment,"Off, Did not fire",200.0,sRGB,EF70-200mm f/2.8L IS USM
